[2025-08-10 20:33:33.173] [info]  DiscordSplash.signalReady
[2025-08-10 20:33:34.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-08-10 20:33:34.904] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-08-10 20:33:34.905] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-08-10 20:33:34.905] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-08-10 20:33:34.906] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-08-10 20:33:34.906] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-08-10 20:33:34.906] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-08-10 20:33:34.906] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-08-10 20:33:34.906] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-08-10 20:33:34.906] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-08-10 20:33:34.906] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-08-10 20:33:34.907] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-08-10 20:33:34.907] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-08-10 20:33:34.907] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-08-10 20:33:34.907] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-08-10 20:33:34.907] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-08-10 20:33:34.907] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-08-10 20:33:34.907] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-08-10 20:33:34.907] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-08-10 20:33:34.907] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-08-10 20:33:34.907] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-08-10 20:33:34.908] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-08-10 20:33:34.908] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-08-10 20:33:34.908] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-08-10 20:33:34.908] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-08-10 20:33:34.908] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-08-10 20:33:34.908] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-08-10 20:33:34.908] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-08-10 20:33:34.908] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-08-10 20:33:34.908] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-08-10 20:33:34.908] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-08-10 20:33:34.908] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-08-10 20:33:34.909] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-08-10 20:33:34.909] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-08-10 20:33:34.909] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-08-10 20:33:34.909] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-08-10 20:33:34.909] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-08-10 20:33:34.909] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-08-10 20:33:34.909] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-08-10 20:33:34.909] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-08-10 20:33:34.909] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-08-10 20:33:34.910] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-08-10 20:33:34.910] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-08-10 20:33:34.926] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-08-10 20:33:34.927] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
